Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
2000, eco1, 1, 41.97, 15.06, 0, 344, 0, 
2001, eco1, 1, 56.96, 14.69, 0, 303, 0, 
2002, eco1, 1, 80.94, 13.98, 0, 365, 0, 
2003, eco1, 1, 36.78, 15.37, 0, 365, 0, 
2004, eco1, 1, 68.07, 13.73, 45, 296, 0, 
2005, eco1, 1, 33.11, 14.43, 0, 290, 0, 
2006, eco1, 1, 41.97, 15.06, 0, 344, 0, 
2007, eco1, 1, 44.26, 15.82, 0, 341, 0, 
2008, eco1, 1, 110.8, 13.61, 0, 305, 0, 
2009, eco1, 1, 44.26, 15.82, 0, 341, 0, 
2010, eco1, 1, 44.26, 15.82, 0, 341, 0, 
2011, eco1, 1, 40.47, 15.13, 0, 334, 0, 
2012, eco1, 1, 80.94, 13.98, 0, 365, 0, 
2013, eco1, 1, 34.07, 14.75, 0, 300, 0, 
2014, eco1, 1, 33.11, 14.43, 0, 290, 0, 
2015, eco1, 1, 56.96, 14.69, 0, 303, 0, 
2016, eco1, 1, 33.11, 14.43, 0, 290, 0, 
2017, eco1, 1, 24.74, 14.26, 0, 322, 0, 
2000, eco2, 2, 11.49, 22.16, 0, 365, 0, 
2001, eco2, 2, 14.2, 21.42, 0, 318, 0, 
2002, eco2, 2, 25.05, 20.84, 0, 365, 0, 
2003, eco2, 2, 16.19, 22.36, 0, 365, 0, 
2004, eco2, 2, 20.58, 20.86, 0, 365, 0, 
2005, eco2, 2, 6.13, 21.31, 0, 365, 0, 
2006, eco2, 2, 11.49, 22.16, 0, 365, 0, 
2007, eco2, 2, 8.53, 22.73, 0, 365, 0, 
2008, eco2, 2, 33, 20.5, 0, 365, 0, 
2009, eco2, 2, 8.53, 22.73, 0, 365, 0, 
2010, eco2, 2, 8.53, 22.73, 0, 365, 0, 
2011, eco2, 2, 10.79, 21.57, 0, 365, 0, 
2012, eco2, 2, 25.05, 20.84, 0, 365, 0, 
2013, eco2, 2, 11.22, 21.52, 0, 310, 0, 
2014, eco2, 2, 6.13, 21.31, 0, 365, 0, 
2015, eco2, 2, 14.2, 21.42, 0, 318, 0, 
2016, eco2, 2, 6.13, 21.31, 0, 365, 0, 
2017, eco2, 2, 5.59, 21.06, 0, 339, 0, 
2000, eco3, 3, 27.81, 16.04, 0, 365, 0, 
2001, eco3, 3, 37.81, 15.65, 0, 308, 0, 
2002, eco3, 3, 70.7, 14.78, 0, 365, 0, 
2003, eco3, 3, 32.01, 16.33, 0, 365, 0, 
2004, eco3, 3, 51.15, 14.97, 0, 311, 0, 
2005, eco3, 3, 26.93, 15.01, 0, 332, 0, 
2006, eco3, 3, 27.81, 16.04, 0, 365, 0, 
2007, eco3, 3, 26.31, 16.46, 0, 365, 0, 
2008, eco3, 3, 57.24, 14.31, 0, 318, 0, 
2009, eco3, 3, 26.31, 16.46, 0, 365, 0, 
2010, eco3, 3, 26.31, 16.46, 0, 365, 0, 
2011, eco3, 3, 22.61, 16.2, 0, 341, 0, 
2012, eco3, 3, 70.7, 14.78, 0, 365, 0, 
2013, eco3, 3, 19.14, 15.81, 0, 306, 0, 
2014, eco3, 3, 26.93, 15.01, 0, 332, 0, 
2015, eco3, 3, 37.81, 15.65, 0, 308, 0, 
2016, eco3, 3, 26.93, 15.01, 0, 332, 0, 
2017, eco3, 3, 17.05, 15.77, 0, 329, 0, 
2000, eco4, 4, 36.25, 16.42, 0, 351, 0, 
2001, eco4, 4, 49.68, 15.92, 0, 309, 0, 
2002, eco4, 4, 58.18, 15.35, 0, 348, 0, 
2003, eco4, 4, 46.79, 16.66, 0, 365, 0, 
