Time,SpeciesName,ClimateRegion,NumberAttempts,AvgTempMult,AvgMinJanTempMult,AvgSoilMoistureMult,AvgProbEst,DryDays,BeginGDD,EndGDD,
1, 3, eco1, 381114, 0.36, 1, 0.54, 0.17, 230.63, 0, 344, 
1, 3, eco2, 367985, 0, 1, 0.31, 0, 306.02, 0, 365, 
1, 3, eco3, 262426, 0.02, 1, 0.2, 0.01, 328.64, 0, 365, 
1, 3, eco4, 299576, 0, 1, 0.41, 0, 270.12, 0, 351, 
1, 3, eco5, 123789, 0.66, 1, 0.4, 0.2, 217.81, 52, 323, 
1, 3, eco6, 877989, 0, 1, 0.3, 0, 308.19, 0, 365, 
1, 3, eco7, 348886, 0, 1, 0.35, 0, 287, 0, 365, 
1, 3, eco8, 571781, 0, 1, 0.31, 0, 300.69, 0, 348, 
1, 3, eco9, 324963, 0.58, 1, 0.59, 0.27, 210.99, 0, 336, 
1, 3, eco10, 112087, 0, 1, 0.39, 0, 280.66, 0, 365, 
1, 4, eco1, 380866, 0.14, 1, 0.53, 0.07, 230.63, 0, 344, 
1, 4, eco2, 367986, 0, 1, 0.31, 0, 306.02, 0, 365, 
1, 4, eco3, 262435, 0, 1, 0.19, 0, 328.64, 0, 365, 
1, 4, eco4, 299571, 0, 1, 0.4, 0, 270.12, 0, 351, 
1, 4, eco5, 123996, 0.5, 1, 0.39, 0.18, 217.83, 52, 323, 
1, 4, eco6, 877874, 0, 1, 0.29, 0, 308.19, 0, 365, 
1, 4, eco7, 349001, 0, 1, 0.34, 0, 286.96, 0, 365, 
1, 4, eco8, 571713, 0, 1, 0.29, 0, 300.68, 0, 348, 
1, 4, eco9, 324915, 0.4, 1, 0.58, 0.2, 210.98, 0, 336, 
1, 4, eco10, 112069, 0, 1, 0.38, 0, 280.7, 0, 365, 
1, 5, eco1, 380524, 0.36, 1, 0.54, 0.17, 230.61, 0, 344, 
1, 5, eco2, 367983, 0, 1, 0.31, 0, 306.02, 0, 365, 
1, 5, eco3, 262413, 0.02, 1, 0.2, 0.01, 328.64, 0, 365, 
1, 5, eco4, 299717, 0, 1, 0.41, 0, 270.13, 0, 351, 
1, 5, eco5, 123850, 0.66, 1, 0.4, 0.2, 217.83, 52, 323, 
1, 5, eco6, 877992, 0, 1, 0.3, 0, 308.2, 0, 365, 
1, 5, eco7, 349072, 0, 1, 0.35, 0, 286.94, 0, 365, 
1, 5, eco8, 571762, 0, 1, 0.31, 0, 300.68, 0, 348, 
1, 5, eco9, 324936, 0.58, 1, 0.59, 0.27, 210.99, 0, 336, 
1, 5, eco10, 112015, 0, 1, 0.39, 0, 280.62, 0, 365, 
1, 11, eco1, 48543, 0, 1, 0.5, 0, 227.9, 0, 344, 
1, 11, eco2, 21864, 0, 1, 0.27, 0, 304.65, 0, 365, 
1, 11, eco3, 22770, 0, 1, 0.12, 0, 335.15, 0, 365, 
1, 11, eco4, 73416, 0, 1, 0.38, 0, 269.05, 0, 351, 
1, 11, eco5, 46886, 0.15, 1, 0.32, 0.07, 220.86, 52, 323, 
