Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 1023.5, 35676.2, 0, 10, 6.7, 
1, 328.7, 723.1, 34648.3, 38, 7.35, 453.3, 
2, 162.7, 666.4, 33743.6, 39.3, 12.97, 772.1, 
3, 138.5, 693.1, 32842.6, 39.8, 14.59, 1037.8, 
4, 124.9, 753, 31829.5, 31.1, 13.35, 1340.8, 
5, 180.8, 838.7, 30978.3, 35.1, 12.01, 1496.1, 
6, 166.4, 929.7, 29688, 32.6, 10.25, 1865.7, 
7, 267.6, 1071.3, 28105.1, 36.5, 8.83, 2233.3, 
8, 275, 1194.5, 27178.1, 34.1, 7.42, 2306.7, 
9, 307.6, 1333.9, 26365.1, 37.5, 5.97, 2276.3, 
10, 337.2, 1456, 24899.3, 33.1, 5.13, 2542.6, 
11, 326.2, 1563.1, 24048.7, 32.5, 4.53, 2548, 
12, 381.7, 1690.5, 22753.5, 32.2, 4.05, 2688, 
13, 354.2, 1794.5, 22126.1, 31.9, 3.58, 2563.1, 
14, 435, 1872.8, 21484, 33.4, 3.85, 2405.5, 
15, 274.6, 1928.9, 20789.5, 27.4, 3.71, 2428.9, 
16, 369.3, 2005.8, 19682.7, 28.7, 3.42, 2537.6, 
17, 298, 2056.8, 19091.7, 25.7, 3.36, 2497.6, 
18, 309.4, 2103.9, 18443.3, 25.1, 3.37, 2479.2, 
