Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,LeachedC,LeachedN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
0, eco1, 1, 472775, 0, 1136.5, 16595.6, 0, 0, 0, 0, 10, 126.3, 0, 0, 0, 7799.9, 1331.2, 6.2, 2, 0.5, 0.1, 0, 0, 11.4, 22.7, 670.5, 431.9, 0, 0, 20.3, 14.6, 0, 0, 0, 0, 0, 0, 1.4, 2.4, 26.8, 50.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91.5, 0, 0, 
0, eco2, 2, 369410, 0, 268.7, 1385.4, 0, 0, 0, 0, 10, 32.8, 0, 0, 0, 651.1, 130.2, 6.4, 2.1, 0.5, 0.1, 0, 0, 2.8, 5.4, 158.5, 102.1, 0, 0, 1.6, 0.4, 0, 0, 0, 0, 0, 0, 1.1, 1.1, 6.4, 12.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30.7, 0, 0, 
0, eco3, 3, 292243, 0, 2199.6, 22217.2, 0, 0, 0, 0, 10, 217.9, 0, 0, 0, 10442.1, 1970.2, 7.2, 2.4, 0.6, 0.1, 0, 0, 22, 44, 1297.8, 835.8, 0, 0, 27.9, 23, 0, 0, 0, 0, 0, 0, 2.3, 4.4, 51.9, 98.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 167, 0, 0, 
0, eco4, 4, 482063, 0, 979, 57783.7, 0, 0, 0, 0, 10, 210, 0, 0, 0, 27158.4, 4818, 6.8, 2.2, 0.6, 0.1, 0, 0, 9.8, 19.6, 577.6, 372, 0, 0, 72.4, 57.3, 0, 0, 0, 0, 0, 0, 1.3, 2, 23.1, 43.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80.3, 0, 0, 
0, eco5, 5, 279971, 0, 886.7, 176287.7, 0, 0, 0, 0, 10, 453.7, 0, 0, 0, 82855.2, 12871.1, 7, 2.3, 0.6, 0.1, 0, 0, 8.9, 17.7, 523.2, 337, 0, 0, 221.4, 158.5, 0, 0, 0, 0, 0, 0, 1.2, 1.8, 20.9, 39.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73.8, 0, 0, 
0, eco6, 6, 936093, 0, 928.7, 3037.7, 0, 0, 0, 0, 10, 82.9, 0, 0, 0, 1427.7, 281, 7, 2.3, 0.6, 0.1, 0, 0, 9.3, 18.6, 547.9, 352.9, 0, 0, 3.6, 2.5, 0, 0, 0, 0, 0, 0, 1.2, 1.9, 21.9, 41.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76.7, 0, 0, 
0, eco7, 7, 521671, 0, 1216.3, 40295.8, 0, 0, 0, 0, 10, 187.2, 0, 0, 0, 18939, 3432.3, 6.7, 2.2, 0.6, 0.1, 0, 0, 12.2, 24.4, 717.6, 462.2, 0, 0, 49.3, 40.4, 0, 0, 0, 0, 0, 0, 1.5, 2.5, 28.7, 54.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97.4, 0, 0, 
0, eco8, 8, 580739, 0, 1206.8, 2722, 0, 0, 0, 0, 10, 102.3, 0, 0, 0, 1279.3, 253.2, 6.9, 2.3, 0.6, 0.1, 0, 0, 12.1, 24.1, 712, 458.6, 0, 0, 3.2, 2.7, 0, 0, 0, 0, 0, 0, 1.3, 2.4, 28.5, 54.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96.4, 0, 0, 
0, eco9, 9, 336263, 0, 615.8, 1818.4, 0, 0, 0, 0, 10, 57.8, 0, 0, 0, 854.6, 170.1, 6.2, 2.1, 0.5, 0.1, 0, 0, 6.2, 12.3, 363.3, 234, 0, 0, 2.1, 0.6, 0, 0, 0, 0, 0, 0, 1.2, 1.5, 14.5, 27.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55.1, 0, 0, 
0, eco10, 10, 254883, 0, 866.8, 170101.8, 0, 0, 0, 0, 10, 412.2, 0, 0, 0, 79947.9, 10298, 7, 2.3, 0.6, 0.1, 0, 0, 8.7, 17.3, 511.4, 329.4, 0, 0, 220, 119.6, 0, 0, 0, 0, 0, 0, 1.2, 1.8, 20.5, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72.5, 0, 0, 
