Time,Month,ClimateRegionName,ClimateRegionIndex,NumSites,Precipitation,AirTemp,AvgTotalNPP_C,AvgHeteroRespiration,AvgSoilRespiration,avgNEE,Ndep,StreamN,SoilWaterContent,
1, 7, eco1, 1, 472775, 0.9, 24.6, 0.18, 11.14, 11.1, 10.95, 0, 0, 0.42, 
1, 7, eco2, 2, 369410, 0.9, 33.3, 0, 4.19, 4.13, 4.19, 0, 0, 0.32, 
1, 7, eco3, 3, 292243, 0, 26.9, 0.01, 18.61, 18.48, 18.6, 0, 0, 0, 
1, 7, eco4, 4, 482063, 0.5, 26.2, 0.05, 8.56, 7.88, 8.51, 0, 0, 0.22, 
1, 7, eco5, 5, 279971, 2.2, 23.9, 4.23, 12.15, 11.45, 7.92, 0, 0, 0.94, 
1, 7, eco6, 6, 936093, 0.4, 27.1, 0, 10.33, 10.28, 10.33, 0, 0, 0.17, 
1, 7, eco7, 7, 521671, 0, 24.4, 0.02, 8.32, 8.23, 8.3, 0, 0, 0.01, 
1, 7, eco8, 8, 580739, 0, 29.7, 0, 15.87, 15.82, 15.87, 0, 0, 0, 
1, 7, eco9, 9, 336263, 0.1, 25.3, 0, 4.97, 4.93, 4.97, 0, 0, 0.06, 
1, 7, eco10, 10, 254883, 0, 25.6, 0.03, 6.64, 6.42, 6.61, 0, 0, 0, 
1, 8, eco1, 1, 472775, 0.8, 23.6, 0.41, 11.65, 11.65, 11.24, 0, 0, 0.44, 
1, 8, eco2, 2, 369410, 0, 32.4, 0, 3.62, 3.56, 3.62, 0, 0, 0.27, 
1, 8, eco3, 3, 292243, 0, 24.9, 0.02, 16.09, 15.95, 16.07, 0, 0, 0, 
1, 8, eco4, 4, 482063, 0, 24.9, 0.03, 7.5, 6.84, 7.47, 0, 0, 0.19, 
1, 8, eco5, 5, 279971, 0.6, 22.6, 3.48, 10.14, 9.3, 6.66, 0, 0, 0.98, 
1, 8, eco6, 6, 936093, 0, 26.1, 0, 9.08, 9.03, 9.08, 0, 0, 0.14, 
1, 8, eco7, 7, 521671, 0, 24.2, 0.02, 8.06, 7.94, 8.04, 0, 0, 0.01, 
1, 8, eco8, 8, 580739, 0.1, 27.9, 0, 13.9, 13.85, 13.9, 0, 0, 0.03, 
1, 8, eco9, 9, 336263, 0.3, 23.9, 0, 4.8, 4.76, 4.8, 0, 0, 0, 
1, 8, eco10, 10, 254883, 0, 25.2, 0.03, 6.52, 6.19, 6.49, 0, 0, 0, 
1, 9, eco1, 1, 472775, 0, 21.5, 0.24, 8.27, 8.24, 8.03, 0, 0, 0.36, 
1, 9, eco2, 2, 369410, 0, 29.2, 0, 2.92, 2.87, 2.92, 0, 0, 0.22, 
1, 9, eco3, 3, 292243, 0, 22.4, 0.02, 13.61, 13.48, 13.59, 0, 0, 0, 
1, 9, eco4, 4, 482063, 0, 22.8, 0.03, 6.56, 5.93, 6.53, 0, 0, 0.15, 
1, 9, eco5, 5, 279971, 0, 20.6, 2.92, 8.12, 7.28, 5.2, 0, 0, 0.78, 
1, 9, eco6, 6, 936093, 0, 23.9, 0, 7.72, 7.68, 7.72, 0, 0, 0.11, 
1, 9, eco7, 7, 521671, 0, 21.6, 0.02, 6.79, 6.67, 6.77, 0, 0, 0.01, 
1, 9, eco8, 8, 580739, 0, 24.4, 0, 10.83, 10.79, 10.83, 0, 0, 0.02, 
