FunctionalGroupName,FunctionalGroupIndex,TemperatureCurve1,TemperatureCurve2,TemperatureCurve3,TemperatureCurve4,FractionANPPtoLeaf,LeafBiomassToLAI,KLAI,MaximumLAI,MoistureCurve2,MoistureCurve3,WoodDecayRate,MonthlyWoodMortality,LongevityMortalityShape,FoliageDropMonth,CoarseRootFraction,FineRootFraction
firs,1,20,40,1,3,0.2,0.022,10000,17,0.2,0.1,0.2,0.002,15,10,0.1,0.7
junipers,2,20,40,1,3,0.2,0.022,10000,17,0.2,0.1,0.2,0.002,15,10,0.1,0.7
incense-cedar,3,20,40,1,3,0.2,0.022,10000,17,0.2,0.1,0.2,0.002,15,10,0.1,0.7
spruce,4,20,40,1,3,0.2,0.022,10000,17,0.2,0.1,0.2,0.002,15,10,0.1,0.7
pines,5,20,40,1,3,0.2,0.022,10000,17,0.2,0.1,0.2,0.002,15,10,0.1,0.7
hardwoods,6,18,38,1,4,0.3,0.022,7500,15,0.1,0.8,0.75,0.002,15,10,0.2,0.5
soft-hardwoods,7,23,30,5,10,0.3,-0.9,1500,12,0.1,0.8,0.75,0.002,10,9,0.2,0.5
hardwoods_dry,8,18,40,1,4,0.3,0.022,2000,20,0.2,0.1,0.2,0.002,15,10,0.2,0.5
chap_coastal,13,12,25,5,4,0.2,-0.8,5000,7,0.2,0.5,0.08,0.002,15,10,0.2,0.6
hay,14,12,25,5,4,0.2,-0.8,5000,7,0.2,0.5,0.08,0.002,15,10,0.2,0.6
