SpeciesCode,AgeDBH,MaximumBarkThickness
11,75,1
15,75,2.5
17,75,2
18,75,1
19,75,1.5
20,75,2.5
21,75,1
51,75,1
52,75,1
58,75,1
59,75,1
61,75,1
62,75,1.5
63,75,1.5
64,75,2
65,75,1.5
66,75,1
68,75,1
69,75,1.5
81,75,1.5
93,75,1.5
96,75,1
101,75,1
103,75,1
104,75,1.5
106,75,1
108,75,1.5
109,75,2
113,75,1
114,75,1
116,75,3
117,75,3
118,75,1
119,75,2
122,75,3
124,75,1
127,75,1.5
133,75,1.5
134,75,1
135,75,1
137,75,1.5
140,75,1
141,75,1
142,75,1
143,75,1
201,75,1.5
202,75,1.5
211,75,3
212,75,3
242,75,1.5
263,75,1.5
264,75,1.5
312,75,1
313,75,1
321,75,1
322,75,1
351,75,1
352,75,1.5
353,75,1
361,75,1
362,75,1
375,75,1
404,75,1.5
461,75,1
462,75,1
463,75,1
475,75,1.5
540,75,1
542,75,1
544,75,1
547,75,1
549,75,1
602,75,1.5
603,75,1.5
604,75,1
605,75,1
606,75,1
631,75,1.5
730,75,1
732,75,1
742,75,1.5
745,75,1.5
746,75,1.5
747,75,1.5
748,75,1.5
749,75,1.5
801,75,2
803,75,1.5
805,75,1.5
807,75,1.5
810,75,1.5
811,75,1.5
814,75,1.5
815,75,1.5
818,75,1.5
821,75,1.5
823,75,1.5
826,75,1
827,75,1
829,75,1
834,75,1
835,75,1
838,75,1.5
839,75,1.5
843,75,1.5
846,75,1
847,75,1
901,75,1.5
972,75,1
973,75,1
974,75,1
975,75,1
981,75,1.5
3,75,1
5,75,1
4,75,1
73,75,2
