SimulationYear,DayOfYear,AttemptedNumberIgnitions,ActualNumberIgnitions,FireWeatherIndex,IgnitionType,
1, 12, 1, 1, 0, Accidental, 
1, 38, 1, 1, 13.6857406018416, Accidental, 
1, 47, 1, 1, 10.6953165607186, Accidental, 
1, 48, 1, 1, 14.4715180002553, Accidental, 
1, 85, 1, 1, 17.8780634098247, Accidental, 
1, 87, 1, 1, 13.6483811274174, Accidental, 
1, 89, 1, 1, 17.9553928211091, Accidental, 
1, 100, 1, 1, 28.4456309847748, Accidental, 
1, 101, 1, 1, 32.5153088835608, Accidental, 
1, 103, 1, 1, 30.6205845313597, Accidental, 
1, 105, 1, 1, 31.7068055611029, Accidental, 
1, 106, 1, 1, 24.5720988574126, Accidental, 
1, 115, 1, 1, 28.190523522511, Accidental, 
1, 116, 2, 2, 29.3728961728479, Accidental, 
1, 124, 1, 1, 28.1223982494671, Accidental, 
1, 125, 1, 1, 34.0701259226963, Accidental, 
1, 126, 2, 2, 32.4742867952021, Accidental, 
1, 127, 1, 1, 30.4498476899089, Accidental, 
1, 129, 2, 2, 34.1179080002151, Accidental, 
1, 130, 2, 2, 31.2008036370474, Accidental, 
1, 133, 1, 1, 19.8943466384031, Accidental, 
1, 135, 1, 1, 27.336890625537, Accidental, 
1, 137, 1, 1, 23.3400224457443, Accidental, 
1, 138, 1, 1, 21.231463716684, Accidental, 
1, 145, 1, 1, 25.3757881186158, Accidental, 
1, 152, 1, 1, 27.4222918475053, Accidental, 
1, 153, 1, 1, 30.2040608110478, Accidental, 
1, 154, 2, 2, 32.3536419538907, Accidental, 
1, 155, 1, 1, 31.1126485190216, Accidental, 
1, 157, 1, 1, 31.3295705702954, Accidental, 
1, 158, 1, 1, 28.9561450986426, Accidental, 
1, 161, 1, 1, 30.8673497360036, Accidental, 
1, 170, 1, 1, 27.0875496931784, Accidental, 
1, 176, 1, 1, 31.9455726989988, Accidental, 
1, 180, 1, 1, 27.9032409340635, Accidental, 
1, 182, 1, 1, 29.9402984081487, Accidental, 
1, 185, 2, 2, 33.2512448826546, Accidental, 
1, 186, 3, 3, 46.5557608361248, Accidental, 
1, 187, 2, 2, 42.7046901446111, Accidental, 
1, 188, 2, 2, 38.5046135345403, Accidental, 
1, 189, 2, 2, 36.2730225066946, Accidental, 
1, 190, 2, 2, 30.8927426803512, Accidental, 
1, 191, 1, 1, 27.9894374496402, Lightning, 
1, 192, 1, 1, 27.3970017876665, Accidental, 
1, 194, 1, 1, 28.2851210802116, Accidental, 
1, 201, 1, 1, 24.7717382018026, Accidental, 
1, 202, 1, 1, 25.1336878637708, Accidental, 
1, 205, 2, 2, 36.0739236869752, Accidental, 
1, 208, 2, 2, 37.6792413191689, Accidental, 
1, 218, 2, 2, 43.43111200019, Accidental, 
1, 219, 3, 3, 41.1544369788856, Accidental, 
1, 227, 1, 1, 27.206878020765, Accidental, 
1, 230, 1, 1, 26.8475447358821, Accidental, 
1, 231, 1, 1, 32.1657284077461, Accidental, 
1, 232, 1, 1, 33.5647322904667, Accidental, 
1, 233, 2, 2, 31.3523468864467, Accidental, 
1, 235, 1, 1, 30.1304707559929, Accidental, 
1, 236, 2, 2, 28.7760487954144, Accidental, 
1, 239, 1, 1, 35.2968602750326, Accidental, 
1, 241, 2, 2, 37.3401862233223, Accidental, 
1, 242, 2, 2, 36.7677875758771, Accidental, 
1, 247, 1, 1, 25.2231028508244, Accidental, 
1, 249, 1, 1, 26.821316112576, Accidental, 
1, 255, 1, 1, 35.3712097518113, Lightning, 
1, 257, 2, 2, 40.0809251741187, Accidental, 
1, 260, 2, 2, 39.3402316864819, Accidental, 
1, 264, 1, 1, 32.8512026702318, Lightning, 
