# ppt,,,
,eco7,eco7,eco7
TIMESTEP,MEAN(mm),VARIANCE(mm^2),STD_DEV(mm)
1950-01-01T00:00:00Z,26.632376,74.22638,8.615473
1950-01-02T00:00:00Z,33.2623,80.4373,8.968684
1950-01-03T00:00:00Z,26.027987,196.18884,14.0067425
1950-01-04T00:00:00Z,2.1974614,3.4225223,1.850006
1950-01-05T00:00:00Z,0.004524163,0.001338825,0.036589958
1950-01-06T00:00:00Z,0,0,0
1950-01-07T00:00:00Z,0,0,0
1950-01-08T00:00:00Z,3.90E-04,1.17E-04,0.010816844
1950-01-09T00:00:00Z,0,0,0
1950-01-10T00:00:00Z,0.012454782,0.005012298,0.070797585
1950-01-11T00:00:00Z,0.010123402,0.003569979,0.059749298
1950-01-12T00:00:00Z,4.69E-04,1.41E-04,0.011862278
1950-01-13T00:00:00Z,0,0,0
1950-01-14T00:00:00Z,9.73E-04,3.77E-04,0.019422801
1950-01-15T00:00:00Z,0,0,0
1950-01-16T00:00:00Z,4.30E-04,1.29E-04,0.011362026
1950-01-17T00:00:00Z,0.08130527,0.048428807,0.22006546
1950-01-18T00:00:00Z,0,0,0
1950-01-19T00:00:00Z,0.002385456,8.35E-04,0.028894043
1950-01-20T00:00:00Z,0,0,0
1950-01-21T00:00:00Z,0.022236334,0.008218792,0.090657555
1950-01-22T00:00:00Z,0.43013293,0.23716027,0.48699102
1950-01-23T00:00:00Z,1.585057,2.4249897,1.5572379
1950-01-24T00:00:00Z,13.492732,74.622406,8.638426
1950-01-25T00:00:00Z,2.242125,0.87163645,0.93361473
1950-01-26T00:00:00Z,8.178668,15.880718,3.985062
1950-01-27T00:00:00Z,12.966525,59.562283,7.7176604
1950-01-28T00:00:00Z,13.566033,89.49146,9.459992
1950-01-29T00:00:00Z,72.80647,427.28006,20.670753
1950-01-30T00:00:00Z,10.853682,58.90152,7.6747327
1950-01-31T00:00:00Z,0.015269892,0.005132848,0.0716439
1950-02-01T00:00:00Z,0,0,0
1950-02-02T00:00:00Z,0,0,0
1950-02-03T00:00:00Z,1.4857192,2.3517256,1.5335337
1950-02-04T00:00:00Z,0,0,0
1950-02-05T00:00:00Z,0,0,0
1950-02-06T00:00:00Z,7.08E-04,2.12E-04,0.014570558
1950-02-07T00:00:00Z,10.430723,9.930644,3.1512926
1950-02-08T00:00:00Z,6.354995,5.055384,2.248418
