Year,Month,ClimateRegionIndex,SpeciesName,CohortAge,CohortWoodBiomass,CohortLeafBiomass,CohortBiomass,MortalityAGEwoodBiomass,MortalityAGEleafBiomass,MortalityTHINwoodBiomass,MortalityTHINleafBiomass,BaseLAI,SeaonalAdjustLAI,ActualLAI,SiteLAI,TreeLAI,GrowthLimitLAI,GrowthLimitSoilWater,GrowthLimitT,GrowthLimitN,GrowthLimitLAIcompetition,MaximumANPP,ActualWoodANPP,ActualLeafANPP,DeltaWood,DeltaLeaf,CohortMaximumBiomass,TotalSiteBiomass,AvailableWater,SoilTemperature,MineralNalloc,ResorbedNalloc,MineralNconsumed,ResorbedNconsumed,TotalNDemand,
1, 7, 0, 361, 180, 26535, 0, 26535, 5.481, 0, 26.535, 0, 5.6, 1, 5.6, 5.6, 5.6, 0.93, 0.01, 0.84, 1, 0.46, 41, 0, 0, -32.016, 0, 100000, 446368, 0.3, 24.2, 0.501, 0, 0, 0, 0, 
1, 7, 0, 801, 160, 58899, 0, 58899, 0.562, 0, 58.899, 0, 6.1, 0, 0.2, 5.8, 0.2, 0.09, 0.01, 0.86, 1, 0.44, 85, 0, 0, -59.461, 0, 100000, 446335, 0.3, 24.2, 0.501, 0, 0, 0, 0, 
1, 7, 0, 801, 155, 5655, 0, 5655, 0.045, 0, 5.655, 0, 3.7, 0, 0.2, 6, 0.2, 0.09, 0.01, 0.86, 1, 0.43, 85, 0, 0, -5.7, 0, 100000, 446275, 0.3, 24.2, 0.501, 0, 0, 0, 0, 
1, 7, 0, 361, 155, 4959, 0, 4959, 0.293, 0, 4.959, 0, 3.5, 1, 3.5, 9.5, 3.5, 0.81, 0.01, 0.84, 1, 0.26, 41, 0, 0, -5.252, 0, 100000, 446269, 0.3, 24.2, 0.501, 0, 0, 0, 0, 
1, 7, 0, 361, 150, 6090, 0, 6090, 0.281, 0, 6.09, 0, 3.8, 1, 3.8, 13.3, 3.8, 0.83, 0.01, 0.84, 1, 0.15, 41, 0, 0, -6.371, 0, 100000, 446263, 0.3, 24.2, 0.501, 0, 0, 0, 0, 
1, 7, 0, 801, 140, 12354, 0, 12354, 0.056, 0, 12.354, 0, 4.8, 0, 0.2, 13.5, 0.2, 0.09, 0.01, 0.86, 1, 0.15, 85, 0, 0, -12.41, 0, 100000, 446256, 0.3, 24.2, 0.501, 0, 0, 0, 0, 
1, 7, 0, 801, 130, 134647, 0, 134647, 0.423, 0, 134.647, 0, 6.3, 0, 0.2, 13.7, 0.2, 0.09, 0.01, 0.86, 1, 0.15, 85, 0, 0, -135.07, 0, 100000, 446243, 0.3, 24.2, 0.501, 0, 0, 0, 0, 
1, 7, 0, 361, 130, 3219, 0, 3219, 0.055, 0, 3.219, 0, 2.8, 1, 2.8, 16.5, 2.8, 0.73, 0.01, 0.84, 1, 0.1, 41, 0, 0, -3.274, 0, 100000, 446107, 0.3, 24.2, 0.501, 0, 0, 0, 0, 
1, 7, 0, 361, 125, 3538, 0, 3538, 0.047, 0, 3.538, 0, 3, 1, 3, 19.5, 3, 0.75, 0.01, 0.84, 1, 0.07, 41, 0, 0, -3.585, 0, 100000, 446103, 0.3, 24.2, 0.501, 0, 0, 0, 0, 
1, 7, 0, 801, 125, 57594, 0, 57594, 0.15, 0, 57.594, 0, 6.1, 0, 0.2, 19.7, 0.2, 0.09, 0.01, 0.86, 1, 0.06, 85, 0, 0, -57.744, 0, 100000, 446099, 0.3, 24.2, 0.501, 0, 0, 0, 0, 
1, 7, 0, 801, 90, 17226, 0, 17226, 0.012, 0, 17.226, 0, 5.2, 0, 0.2, 19.9, 0.2, 0.09, 0.01, 0.86, 1, 0.06, 85, 0, 0, -17.238, 0, 100000, 446041, 0.3, 24.2, 0.501, 0, 0, 0, 0, 
1, 7, 0, 801, 85, 61248, 0, 61248, 0.036, 0, 61.248, 0, 6.1, 0, 0.2, 20.1, 0.2, 0.09, 0.01, 0.86, 1, 0.06, 85, 0, 0, -61.284, 0, 100000, 446023, 0.3, 24.2, 0.501, 0, 0, 0, 0, 
1, 7, 0, 801, 65, 18995, 0, 18995, 0.005, 0, 18.995, 0, 5.3, 0, 0.2, 20.3, 0.2, 0.09, 0.01, 0.86, 1, 0.06, 85, 0, 0, -19, 0, 100000, 445961, 0.3, 24.2, 0.501, 0, 0, 0, 0, 
1, 7, 0, 801, 60, 6583, 0, 6583, 0.002, 0, 6.585, 0, 3.9, 0, 0.2, 20.5, 0.2, 0.09, 0.01, 0.86, 1, 0.06, 85, 0.002, 0.0007, -6.585, 0.0007, 100000, 445942, 0.3, 24.2, 0.501, 0, 0, 0, 0, 
1, 7, 0, 801, 50, 2755, 0, 2755, 0, 0, 2.757, 0, 2.6, 0, 0.2, 20.7, 0.2, 0.09, 0.01, 0.86, 1, 0.06, 85, 0.002, 0.001, -2.755, 0.001, 100000, 445935, 0.3, 24.2, 0.501, 0, 0, 0, 0, 
1, 7, 0, 127, 50, 11078, 0, 11078, 0.003, 0, 11.082, 0, 3.9, 1, 3.9, 24.6, 3.9, 0.84, 0.01, 0.94, 1, 0.03, 35, 0.004, 0.0011, -11.081, 0.0011, 100000, 445932, 0.3, 24.2, 0.501, 0, 0, 0, 0, 
1, 7, 0, 801, 45, 7366, 0, 7366, 0.001, 0, 7.367, 0, 4.1, 0, 0.2, 24.8, 0.2, 0.09, 0.01, 0.86, 1, 0.03, 85, 0.001, 0.0003, -7.367, 0.0003, 100000, 445920, 0.3, 24.2, 0.501, 0, 0, 0, 0, 
1, 7, 0, 801, 40, 1653, 0, 1653, 0, 0, 1.654, 0, 1.8, 0, 0.2, 25, 0.2, 0.09, 0.01, 0.86, 1, 0.03, 85, 0.001, 0.0005, -1.653, 0.0005, 100000, 445912, 0.3, 24.2, 0.501, 0, 0, 0, 0, 
1, 7, 0, 127, 35, 1653, 0, 1653, 0, 0, 1.656, 0, 1.2, 1, 1.2, 26.1, 1.2, 0.43, 0.01, 0.94, 1, 0.03, 35, 0.003, 0.0007, -1.653, 0.0007, 100000, 445910, 0.3, 24.2, 0.483, 0, 0, 0, 0, 
1, 7, 0, 801, 30, 4321, 0, 4321, 0, 0, 4.322, 0, 3.3, 0, 0.2, 26.3, 0.2, 0.09, 0.01, 0.86, 1, 0.03, 85, 0.001, 0.0004, -4.321, 0.0004, 100000, 445908, 0.3, 24.2, 0.501, 0, 0, 0, 0, 
1, 8, 0, 361, 180, 26503, 0, 26503, 5.475, 0, 26.503, 0, 5.6, 1, 5.6, 5.6, 5.6, 0.93, 0.01, 0.79, 1, 0.46, 41, 0, 0, -31.978, 0, 100000, 445903, 1.2, 25.1, 0.492, 0, 0, 0, 0, 
1, 8, 0, 801, 160, 58839.5, 0, 58839.5, 0.562, 0, 58.84, 0, 6.1, 0, 0.2, 5.8, 0.2, 0.09, 0.01, 0.83, 1, 0.44, 85, 0, 0, -59.401, 0, 100000, 445872, 1.2, 25.1, 0.492, 0, 0, 0, 0, 
1, 8, 0, 801, 155, 5649.3, 0, 5649.3, 0.045, 0, 5.649, 0, 3.7, 0, 0.2, 6, 0.2, 0.09, 0.01, 0.83, 1, 0.43, 85, 0, 0, -5.694, 0, 100000, 445813, 1.2, 25.1, 0.492, 0, 0, 0, 0, 
1, 8, 0, 361, 155, 4953.7, 0, 4953.7, 0.293, 0, 4.954, 0, 3.5, 1, 3.5, 9.5, 3.5, 0.81, 0.01, 0.79, 1, 0.26, 41, 0, 0, -5.247, 0, 100000, 445807, 1.2, 25.1, 0.492, 0, 0, 0, 0, 
