Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,LeachedC,LeachedN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
0, eco7,0,1,0,581,70,0,0,0,0,5.5,41.7,0,0,0,32.9,3.3,4.7,1.5,3.6,0.6,0,0,5.8,11.6,342.8,220.8,0,0,0.2,0,0,0,0,0.1,0,0,1.1,1.2,13.7,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.5,0,0, 
1, eco7,0,1,-114.3,562,334,127.2,12.7,1.2,1.5,4.15,41.9,1.2,24.2,2.4,133.1,13.3,3.9,1.6,0.6,0.6,0,0,7.9,25.3,308.1,220.7,0.6,0,0.8,0,0,0,0,0,0,0,0.9,2.9,12.4,19.9,0,0,0,0,0.1,0.2,-0.6,0,0.26,0,0,0,0,1.3,0,40.4,0.08,0, 
2, eco7,0,1,-379.9,543.1,1088,369.1,36.9,8.4,6.3,0.89,42.1,1.4,89.6,9,422.1,42.2,7.6,2.1,3.6,1.7,0.3,0.4,9,36.1,277.5,220.6,2.1,0.2,2.6,0.1,0,0,0,0.1,0,0,0.8,4.1,11.2,19.9,0,0,0,0,0.2,0.4,-0.4,0,0.26,0,0,0,0,3.7,0.1,37,0.04,0, 
3, eco7,0,1,-225.6,531.4,1515,232.2,23.2,18.5,13.2,0.16,42.4,1.5,117.6,11.8,594.7,59.5,16.3,2.9,7.7,3.8,0.8,0.9,13.4,44,253.4,220.5,2.8,0.2,3.7,0.2,0.1,0,0,0.1,0,0,0.7,4.3,10.1,19.9,0,0,0,0,0.1,0.6,0.4,0,0.26,0,0,0,0,2.1,0.3,35.4,0,0, 
4, eco7,0,1,-145.2,524.3,1784,163.6,16.4,21,16.2,0.18,42.6,1.5,129.3,12.9,709.4,70.9,25,3.8,9.1,5.4,1,1.4,20.1,50.3,233.5,220.4,3.1,0.2,4.4,0.2,0.2,0,0,0.2,0,0,0.7,4.4,9.1,19.9,0,0,0,0,0.1,0.6,0.4,0,0.27,0,0,0,0,1.4,0.3,34.5,0,0, 
5, eco7,0,1,-142.3,520.6,2044,163.6,16.4,22.7,18.9,0.17,42.9,1.5,139.3,13.9,821.4,82.1,33.6,4.6,9.9,6.5,1.2,1.7,27.4,54.9,217.9,220.4,3.3,0.2,5.1,0.2,0.2,0,0.1,0.2,0,0,0.8,4.4,8.2,19.9,0,0,0,0,0.1,0.6,0.3,0,0.25,0,0,0,0,1.4,0.3,33.7,0,0, 
6, eco7,0,1,-135.7,520.1,2285,159.1,15.9,24.3,21.6,0.17,43.2,1.4,146.9,14.7,927.1,92.7,42.1,5.6,10.7,7.5,1.3,1.9,34.9,58.2,206.7,220.3,3.5,0.3,5.8,0.3,0.3,0,0.1,0.2,0,0.1,0.8,4.4,7.5,19.9,0,0,0,0,0.2,0.6,0.2,0,0.28,0.01,0,0,0,1.3,0.3,33.1,0,0, 
7, eco7,0,1,-132.8,520.8,2520,160.2,16,25.4,24.2,0.17,43.4,1.4,153.5,15.4,1031.1,103.1,50.3,6.4,11.2,8.1,1.4,2.1,42.5,60.8,197.2,220.2,3.7,0.3,6.4,0.3,0.3,0,0.1,0.2,0,0.1,0.9,4.4,6.8,19.9,0,0,0,0,0.2,0.6,0.2,0,0.27,0,0,0,0,1.3,0.4,32.4,0,0, 
8, eco7,0,1,-131.2,523.6,2751,161.7,16.2,26.4,26.7,0.15,43.7,1.4,159.5,15.9,1133.7,113.4,57.8,7.3,11.2,8.5,1.4,2.2,50.2,62.8,190.5,220.1,3.8,0.3,7.1,0.3,0.4,0,0.1,0.3,0,0.1,1,4.3,6.2,19.8,0,0,0,0,0.2,0.6,0.2,0,0.29,0.02,0,0,0,1.3,0.4,31.8,0,0, 
9, eco7,0,1,-127.1,526.7,2978,163,16.3,27.3,29.2,0.17,44,1.5,164.8,16.5,1234.9,123.5,64.2,7.9,10.8,8.7,1.4,2.2,57.6,64.4,184.7,220,3.9,0.3,7.7,0.4,0.4,0,0.1,0.3,0,0.1,1,4.2,5.6,19.8,0,0,0,0,0.2,0.6,0.1,0,0.28,0.01,0,0,0,1.3,0.4,31.3,0,0, 
10, eco7,0,1,-121.1,531.6,3183,156.1,15.6,28,31.6,0.14,44.3,1.4,168,16.8,1328.2,132.8,71.8,8.9,11.7,9.1,1.5,2.3,64.2,65.5,182,219.9,4,0.3,8.3,0.4,0.5,0,0.1,0.3,0,0.1,1.1,4.2,5.1,19.8,0,0,0,0,0.2,0.6,0.1,0,0.29,0.02,0,0,0,1.2,0.4,30.8,0,0, 
