SpeciesCode,FunctionalGroupIndex,NitrogenFixer,GDDMinimum,GDDMaximum,MinJanuaryT,MaxDrought,LeafLongevity,Epicormic,LeafLignin,FineRootLignin,WoodLignin,CoarseRootLignin,LeafCN,FineRootCN,WoodCN,CoarseRootCN,FoliageLitterCN,MaximumANPP,MaximumBiomass
11,1,FALSE,400,3600,-10,0.93,8,FALSE,0.17,0.2,0.25,0.25,30,30,333,222,100,300,41000
15,1,FALSE,400,3600,-10,0.93,8,FALSE,0.17,0.2,0.25,0.25,30,30,333,222,100,300,41000
17,1,FALSE,400,3400,-13,0.91,8,FALSE,0.17,0.2,0.25,0.25,30,30,250,167,100,300,41000
18,1,FALSE,400,3400,-13,0.91,8,FALSE,0.17,0.2,0.25,0.25,30,30,250,167,100,300,41000
19,1,FALSE,400,3400,-13,0.91,8,FALSE,0.17,0.2,0.25,0.25,30,30,250,167,100,300,41000
20,1,FALSE,400,3400,-13,0.91,8,FALSE,0.17,0.2,0.25,0.25,30,30,250,167,100,300,41000
21,1,FALSE,400,3400,-13,0.91,8,FALSE,0.17,0.2,0.25,0.25,30,30,250,167,100,300,41000
51,2,FALSE,247,3749,-14,0.42,6,FALSE,0.24,0.22,0.29,0.29,42,58,160,337,100,300,24000
52,2,FALSE,247,3749,-14,0.42,6,FALSE,0.24,0.22,0.29,0.29,42,58,160,337,100,300,24000
58,2,FALSE,400,5500,-14,0.99,6,FALSE,0.25,0.2,0.25,0.25,20,30,333,222,50,300,24000
59,2,FALSE,400,5500,-14,0.99,6,FALSE,0.25,0.2,0.25,0.25,20,30,333,222,50,300,24000
61,2,FALSE,400,5500,-14,0.99,6,FALSE,0.25,0.2,0.25,0.25,20,30,333,222,50,300,24000
62,2,FALSE,400,5500,-14,0.99,6,FALSE,0.25,0.2,0.25,0.25,20,30,333,222,50,300,24000
63,2,FALSE,400,5500,-14,0.99,6,FALSE,0.25,0.2,0.25,0.25,20,30,333,222,50,300,24000
64,2,FALSE,400,5500,-14,0.99,6,FALSE,0.25,0.2,0.25,0.25,20,30,333,222,50,300,24000
65,2,FALSE,400,5500,-14,0.99,6,FALSE,0.25,0.2,0.25,0.25,20,30,333,222,50,300,24000
66,2,FALSE,400,5500,-14,0.99,6,FALSE,0.25,0.2,0.25,0.25,20,30,333,222,50,300,24000
68,2,FALSE,400,5500,-14,0.99,6,FALSE,0.25,0.2,0.25,0.25,20,30,333,222,50,300,24000
69,2,FALSE,400,5500,-14,0.99,6,FALSE,0.25,0.2,0.25,0.25,20,30,333,222,50,300,24000
81,3,FALSE,1100,3600,-18,0.97,4,FALSE,0.1,0.2,0.25,0.25,48,48,500,33,100,300,20000
93,4,FALSE,280,1911,-30,0.309,3,FALSE,0.263,0.258,0.4,0.234,40,43,500,84,55,300,30000
96,4,FALSE,280,1911,-30,0.309,3,FALSE,0.263,0.258,0.4,0.234,40,43,500,84,55,300,30000
101,5,FALSE,300,2400,-18,0.9,5,TRUE,0.27,0.2,0.25,0.25,80,80,333,222,100,300,30000
103,5,FALSE,900,2500,1,0.8,2,FALSE,0.28,0.2,0.25,0.25,48,48,250,167,100,300,30000
104,5,FALSE,247,2937,-16,0.408,10,FALSE,0.24,0.22,0.29,0.29,48,30,245,170,60,300,30000
106,5,FALSE,332,4008,-10,0.512,8,FALSE,0.24,0.22,0.29,0.29,42,58,500,170,100,300,20000
108,5,FALSE,500,2400,-18,0.8,3,FALSE,0.25,0.2,0.25,0.25,48,48,500,333,100,300,20000
109,5,FALSE,900,3800,2,0.6,2,FALSE,0.28,0.2,0.25,0.25,48,48,250,167,100,300,20000
113,5,FALSE,300,2400,-15,0.9,3,FALSE,0.28,0.2,0.25,0.25,48,48,250,167,100,300,30000
114,5,FALSE,247,3582,-15,0.402,4,FALSE,0.24,0.22,0.29,0.29,57,31,353,170,71,300,20000
116,5,FALSE,900,2800,-5,0.9,6,FALSE,0.28,0.2,0.25,0.25,48,48,250,167,100,300,30000
