SpeciesCode,FunctionalGroupIndex,NitrogenFixer,GDDMinimum,GDDMaximum,MinJanuaryT,MaxDrought,LeafLongevity,Epicormic,LeafLignin,FineRootLignin,WoodLignin,CoarseRootLignin,LeafCN,FineRootCN,WoodCN,CoarseRootCN,FoliageLitterCN,MaximumANPP,MaximumBiomass
11,1,FALSE,247,4031,-10,0.417,7,FALSE,0.25,0.22,0.28,0.28,83,45,333,222,100,300,41000
15,1,FALSE,247,4031,-10,0.417,7,FALSE,0.25,0.22,0.28,0.28,83,45,333,222,100,300,41000
17,1,FALSE,247,4031,-10,0.417,7,FALSE,0.25,0.22,0.28,0.28,83,45,333,222,100,300,41000
18,1,FALSE,247,4031,-10,0.417,7,FALSE,0.25,0.22,0.28,0.28,83,45,333,222,100,300,41000
19,1,FALSE,247,4031,-10,0.417,7,FALSE,0.25,0.22,0.28,0.28,83,45,333,222,100,300,41000
20,1,FALSE,247,4031,-10,0.417,7,FALSE,0.25,0.22,0.28,0.28,83,45,333,222,100,300,41000
21,1,FALSE,247,4031,-10,0.417,7,FALSE,0.25,0.22,0.28,0.28,83,45,333,222,100,300,41000
51,2,FALSE,247,3749,-14,0.42,6,FALSE,0.24,0.22,0.29,0.29,42,58,160,337,100,300,24000
52,2,FALSE,247,3749,-14,0.42,6,FALSE,0.24,0.22,0.29,0.29,42,58,160,337,100,300,24000
58,2,FALSE,247,3749,-14,0.42,6,FALSE,0.24,0.22,0.29,0.29,42,58,160,337,100,300,24000
59,2,FALSE,247,3749,-14,0.42,6,FALSE,0.24,0.22,0.29,0.29,42,58,160,337,100,300,24000
61,2,FALSE,247,3749,-14,0.42,6,FALSE,0.24,0.22,0.29,0.29,42,58,160,337,100,300,24000
62,2,FALSE,247,3749,-14,0.42,6,FALSE,0.24,0.22,0.29,0.29,42,58,160,337,100,300,24000
63,2,FALSE,247,3749,-14,0.42,6,FALSE,0.24,0.22,0.29,0.29,42,58,160,337,100,300,24000
64,2,FALSE,247,3749,-14,0.42,6,FALSE,0.24,0.22,0.29,0.29,42,58,160,337,100,300,24000
65,2,FALSE,247,3749,-14,0.42,6,FALSE,0.24,0.22,0.29,0.29,42,58,160,337,100,300,24000
66,2,FALSE,247,3749,-14,0.42,6,FALSE,0.24,0.22,0.29,0.29,42,58,160,337,100,300,24000
68,2,FALSE,247,3749,-14,0.42,6,FALSE,0.24,0.22,0.29,0.29,42,58,160,337,100,300,24000
69,2,FALSE,247,3749,-14,0.42,6,FALSE,0.24,0.22,0.29,0.29,42,58,160,337,100,300,24000
81,3,FALSE,400,4000,-10,0.99,1.5,FALSE,0.25,0.2,0.25,0.25,56,56,353,222,100,300,20000
93,4,FALSE,280,1911,-30,0.309,3,FALSE,0.263,0.258,0.4,0.234,40.7,43,500,84,55,300,30000
96,4,FALSE,280,1911,-30,0.309,3,FALSE,0.263,0.258,0.4,0.234,40.7,43,500,84,55,300,30000
101,5,FALSE,247,2929,-17,0.385,10,FALSE,0.27,0.2,0.25,0.25,48,30,245,222,60,300,30000
103,5,FALSE,247,2937,-16,0.408,10,FALSE,0.24,0.22,0.29,0.29,48,30,245,170,60,300,30000
104,5,FALSE,247,2937,-16,0.408,10,FALSE,0.24,0.22,0.29,0.29,48,30,245,170,60,300,30000
106,5,FALSE,332,4008,-10,0.512,8,FALSE,0.24,0.22,0.29,0.29,42,58,500,170,100,300,20000
108,5,FALSE,247,3582,-14,0.406,7,FALSE,0.26,0.37,0.33,0.33,64,50,500,212,82,300,20000
109,5,FALSE,285,4031,-8,0.422,3,FALSE,0.17,0.22,0.28,0.28,56,53,278,185,69,300,20000
113,5,FALSE,332,31376,-17,0.397,8,FALSE,0.24,0.22,0.29,0.29,48,30,245,170,60,300,30000
